255 0xFF 0b11111111     895 0x37F 0b1101111111    1535 0x5FF 0b10111111111   2175 0x87F 0b100001111111  2815 0xAFF 0b101011111111  3455 0xD7F 0b110101111111
407 0x197 0b110010111   1047 0x417 0b10000010111  1687 0x697 0b11010010111   2327 0x917 0b100100010111  2967 0xB97 0b101110010111  3607 0xE17 0b111000010111
408 0x198 0b110011000   1048 0x418 0b10000011000  1688 0x698 0b11010011000   2328 0x918 0b100100011000  2968 0xB98 0b101110011000  3608 0xE18 0b111000011000
409 0x199 0b110011001   1049 0x419 0b10000011001  1689 0x699 0b11010011001   2329 0x919 0b100100011001  2969 0xB99 0b101110011001  3609 0xE19 0b111000011001
410 0x19A 0b110011010   1050 0x41A 0b10000011010  1690 0x69A 0b11010011010   2330 0x91A 0b100100011010  2970 0xB9A 0b101110011010  3610 0xE1A 0b111000011010
411 0x19B 0b110011011   1051 0x41B 0b10000011011  1691 0x69B 0b11010011011   2331 0x91B 0b100100011011  2971 0xB9B 0b101110011011  3611 0xE1B 0b111000011011
412 0x19C 0b110011100   1052 0x41C 0b10000011100  1692 0x69C 0b11010011100   2332 0x91C 0b100100011100  2972 0xB9C 0b101110011100  3612 0xE1C 0b111000011100
413 0x19D 0b110011101   1053 0x41D 0b10000011101  1693 0x69D 0b11010011101   2333 0x91D 0b100100011101  2973 0xB9D 0b101110011101  3613 0xE1D 0b111000011101
414 0x19E 0b110011110   1054 0x41E 0b10000011110  1694 0x69E 0b11010011110   2334 0x91E 0b100100011110  2974 0xB9E 0b101110011110  3614 0xE1E 0b111000011110
415 0x19F 0b110011111   1055 0x41F 0b10000011111  1695 0x69F 0b11010011111   2335 0x91F 0b100100011111  2975 0xB9F 0b101110011111  3615 0xE1F 0b111000011111
416 0x1A0 0b110100000   1056 0x420 0b10000100000  1696 0x6A0 0b11010100000   2336 0x920 0b100100100000  2976 0xBA0 0b101110100000  3616 0xE20 0b111000100000
417 0x1A1 0b110100001   1057 0x421 0b10000100001  1697 0x6A1 0b11010100001   2337 0x921 0b100100100001  2977 0xBA1 0b101110100001  3617 0xE21 0b111000100001
418 0x1A2 0b110100010   1058 0x422 0b10000100010  1698 0x6A2 0b11010100010   2338 0x922 0b100100100010  2978 0xBA2 0b101110100010  3618 0xE22 0b111000100010
419 0x1A3 0b110100011   1059 0x423 0b10000100011  1699 0x6A3 0b11010100011   2339 0x923 0b100100100011  2979 0xBA3 0b101110100011  3619 0xE23 0b111000100011
420 0x1A4 0b110100100   1060 0x424 0b10000100100  1700 0x6A4 0b11010100100   2340 0x924 0b100100100100  2980 0xBA4 0b101110100100  3620 0xE24 0b111000100100
421 0x1A5 0b110100101   1061 0x425 0b10000100101  1701 0x6A5 0b11010100101   2341 0x925 0b100100100101  2981 0xBA5 0b101110100101  3621 0xE25 0b111000100101
422 0x1A6 0b110100110   1062 0x426 0b10000100110  1702 0x6A6 0b11010100110   2342 0x926 0b100100100110  2982 0xBA6 0b101110100110  3622 0xE26 0b111000100110
423 0x1A7 0b110100111   1063 0x427 0b10000100111  1703 0x6A7 0b11010100111   2343 0x927 0b100100100111  2983 0xBA7 0b101110100111  3623 0xE27 0b111000100111
424 0x1A8 0b110101000   1064 0x428 0b10000101000  1704 0x6A8 0b11010101000   2344 0x928 0b100100101000  2984 0xBA8 0b101110101000  3624 0xE28 0b111000101000
425 0x1A9 0b110101001   1065 0x429 0b10000101001  1705 0x6A9 0b11010101001   2345 0x929 0b100100101001  2985 0xBA9 0b101110101001  3625 0xE29 0b111000101001
426 0x1AA 0b110101010   1066 0x42A 0b10000101010  1706 0x6AA 0b11010101010   2346 0x92A 0b100100101010  2986 0xBAA 0b101110101010  3626 0xE2A 0b111000101010
427 0x1AB 0b110101011   1067 0x42B 0b10000101011  1707 0x6AB 0b11010101011   2347 0x92B 0b100100101011  2987 0xBAB 0b101110101011  3627 0xE2B 0b111000101011
428 0x1AC 0b110101100   1068 0x42C 0b10000101100  1708 0x6AC 0b11010101100   2348 0x92C 0b100100101100  2988 0xBAC 0b101110101100  3628 0xE2C 0b111000101100
429 0x1AD 0b110101101   1069 0x42D 0b10000101101  1709 0x6AD 0b11010101101   2349 0x92D 0b100100101101  2989 0xBAD 0b101110101101  3629 0xE2D 0b111000101101
430 0x1AE 0b110101110   1070 0x42E 0b10000101110  1710 0x6AE 0b11010101110   2350 0x92E 0b100100101110  2990 0xBAE 0b101110101110  3630 0xE2E 0b111000101110
431 0x1AF 0b110101111   1071 0x42F 0b10000101111  1711 0x6AF 0b11010101111   2351 0x92F 0b100100101111  2991 0xBAF 0b101110101111  3631 0xE2F 0b111000101111
432 0x1B0 0b110110000   1072 0x430 0b10000110000  1712 0x6B0 0b11010110000   2352 0x930 0b100100110000  2992 0xBB0 0b101110110000  3632 0xE30 0b111000110000
433 0x1B1 0b110110001   1073 0x431 0b10000110001  1713 0x6B1 0b11010110001   2353 0x931 0b100100110001  2993 0xBB1 0b101110110001  3633 0xE31 0b111000110001
434 0x1B2 0b110110010   1074 0x432 0b10000110010  1714 0x6B2 0b11010110010   2354 0x932 0b100100110010  2994 0xBB2 0b101110110010  3634 0xE32 0b111000110010
435 0x1B3 0b110110011   1075 0x433 0b10000110011  1715 0x6B3 0b11010110011   2355 0x933 0b100100110011  2995 0xBB3 0b101110110011  3635 0xE33 0b111000110011
436 0x1B4 0b110110100   1076 0x434 0b10000110100  1716 0x6B4 0b11010110100   2356 0x934 0b100100110100  2996 0xBB4 0b101110110100  3636 0xE34 0b111000110100
437 0x1B5 0b110110101   1077 0x435 0b10000110101  1717 0x6B5 0b11010110101   2357 0x935 0b100100110101  2997 0xBB5 0b101110110101  3637 0xE35 0b111000110101
438 0x1B6 0b110110110   1078 0x436 0b10000110110  1718 0x6B6 0b11010110110   2358 0x936 0b100100110110  2998 0xBB6 0b101110110110  3638 0xE36 0b111000110110
439 0x1B7 0b110110111   1079 0x437 0b10000110111  1719 0x6B7 0b11010110111   2359 0x937 0b100100110111  2999 0xBB7 0b101110110111  3639 0xE37 0b111000110111
440 0x1B8 0b110111000   1080 0x438 0b10000111000  1720 0x6B8 0b11010111000   2360 0x938 0b100100111000  3000 0xBB8 0b101110111000  3640 0xE38 0b111000111000
441 0x1B9 0b110111001   1081 0x439 0b10000111001  1721 0x6B9 0b11010111001   2361 0x939 0b100100111001  3001 0xBB9 0b101110111001  3641 0xE39 0b111000111001
442 0x1BA 0b110111010   1082 0x43A 0b10000111010  1722 0x6BA 0b11010111010   2362 0x93A 0b100100111010  3002 0xBBA 0b101110111010  3642 0xE3A 0b111000111010
443 0x1BB 0b110111011   1083 0x43B 0b10000111011  1723 0x6BB 0b11010111011   2363 0x93B 0b100100111011  3003 0xBBB 0b101110111011  3643 0xE3B 0b111000111011
444 0x1BC 0b110111100   1084 0x43C 0b10000111100  1724 0x6BC 0b11010111100   2364 0x93C 0b100100111100  3004 0xBBC 0b101110111100  3644 0xE3C 0b111000111100
445 0x1BD 0b110111101   1085 0x43D 0b10000111101  1725 0x6BD 0b11010111101   2365 0x93D 0b100100111101  3005 0xBBD 0b101110111101  3645 0xE3D 0b111000111101
446 0x1BE 0b110111110   1086 0x43E 0b10000111110  1726 0x6BE 0b11010111110   2366 0x93E 0b100100111110  3006 0xBBE 0b101110111110  3646 0xE3E 0b111000111110
447 0x1BF 0b110111111   1087 0x43F 0b10000111111  1727 0x6BF 0b11010111111   2367 0x93F 0b100100111111  3007 0xBBF 0b101110111111  3647 0xE3F 0b111000111111
448 0x1C0 0b111000000   1088 0x440 0b10001000000  1728 0x6C0 0b11011000000   2368 0x940 0b100101000000  3008 0xBC0 0b101111000000  3648 0xE40 0b111001000000
449 0x1C1 0b111000001   1089 0x441 0b10001000001  1729 0x6C1 0b11011000001   2369 0x941 0b100101000001  3009 0xBC1 0b101111000001  3649 0xE41 0b111001000001
450 0x1C2 0b111000010   1090 0x442 0b10001000010  1730 0x6C2 0b11011000010   2370 0x942 0b100101000010  3010 0xBC2 0b101111000010  3650 0xE42 0b111001000010
451 0x1C3 0b111000011   1091 0x443 0b10001000011  1731 0x6C3 0b11011000011   2371 0x943 0b100101000011  3011 0xBC3 0b101111000011  3651 0xE43 0b111001000011
452 0x1C4 0b111000100   1092 0x444 0b10001000100  1732 0x6C4 0b11011000100   2372 0x944 0b100101000100  3012 0xBC4 0b101111000100  3652 0xE44 0b111001000100
453 0x1C5 0b111000101   1093 0x445 0b10001000101  1733 0x6C5 0b11011000101   2373 0x945 0b100101000101  3013 0xBC5 0b101111000101  3653 0xE45 0b111001000101
454 0x1C6 0b111000110   1094 0x446 0b10001000110  1734 0x6C6 0b11011000110   2374 0x946 0b100101000110  3014 0xBC6 0b101111000110  3654 0xE46 0b111001000110
455 0x1C7 0b111000111   1095 0x447 0b10001000111  1735 0x6C7 0b11011000111   2375 0x947 0b100101000111  3015 0xBC7 0b101111000111  3655 0xE47 0b111001000111
456 0x1C8 0b111001000   1096 0x448 0b10001001000  1736 0x6C8 0b11011001000   2376 0x948 0b100101001000  3016 0xBC8 0b101111001000  3656 0xE48 0b111001001000
457 0x1C9 0b111001001   1097 0x449 0b10001001001  1737 0x6C9 0b11011001001   2377 0x949 0b100101001001  3017 0xBC9 0b101111001001  3657 0xE49 0b111001001001
458 0x1CA 0b111001010   1098 0x44A 0b10001001010  1738 0x6CA 0b11011001010   2378 0x94A 0b100101001010  3018 0xBCA 0b101111001010  3658 0xE4A 0b111001001010
459 0x1CB 0b111001011   1099 0x44B 0b10001001011  1739 0x6CB 0b11011001011   2379 0x94B 0b100101001011  3019 0xBCB 0b101111001011  3659 0xE4B 0b111001001011
460 0x1CC 0b111001100   1100 0x44C 0b10001001100  1740 0x6CC 0b11011001100   2380 0x94C 0b100101001100  3020 0xBCC 0b101111001100  3660 0xE4C 0b111001001100
461 0x1CD 0b111001101   1101 0x44D 0b10001001101  1741 0x6CD 0b11011001101   2381 0x94D 0b100101001101  3021 0xBCD 0b101111001101  3661 0xE4D 0b111001001101
462 0x1CE 0b111001110   1102 0x44E 0b10001001110  1742 0x6CE 0b11011001110   2382 0x94E 0b100101001110  3022 0xBCE 0b101111001110  3662 0xE4E 0b111001001110
463 0x1CF 0b111001111   1103 0x44F 0b10001001111  1743 0x6CF 0b11011001111   2383 0x94F 0b100101001111  3023 0xBCF 0b101111001111  3663 0xE4F 0b111001001111
464 0x1D0 0b111010000   1104 0x450 0b10001010000  1744 0x6D0 0b11011010000   2384 0x950 0b100101010000  3024 0xBD0 0b101111010000  3664 0xE50 0b111001010000
465 0x1D1 0b111010001   1105 0x451 0b10001010001  1745 0x6D1 0b11011010001   2385 0x951 0b100101010001  3025 0xBD1 0b101111010001  3665 0xE51 0b111001010001
466 0x1D2 0b111010010   1106 0x452 0b10001010010  1746 0x6D2 0b11011010010   2386 0x952 0b100101010010  3026 0xBD2 0b101111010010  3666 0xE52 0b111001010010
467 0x1D3 0b111010011   1107 0x453 0b10001010011  1747 0x6D3 0b11011010011   2387 0x953 0b100101010011  3027 0xBD3 0b101111010011  3667 0xE53 0b111001010011
468 0x1D4 0b111010100   1108 0x454 0b10001010100  1748 0x6D4 0b11011010100   2388 0x954 0b100101010100  3028 0xBD4 0b101111010100  3668 0xE54 0b111001010100
469 0x1D5 0b111010101   1109 0x455 0b10001010101  1749 0x6D5 0b11011010101   2389 0x955 0b100101010101  3029 0xBD5 0b101111010101  3669 0xE55 0b111001010101
470 0x1D6 0b111010110   1110 0x456 0b10001010110  1750 0x6D6 0b11011010110   2390 0x956 0b100101010110  3030 0xBD6 0b101111010110  3670 0xE56 0b111001010110
471 0x1D7 0b111010111   1111 0x457 0b10001010111  1751 0x6D7 0b11011010111   2391 0x957 0b100101010111  3031 0xBD7 0b101111010111  3671 0xE57 0b111001010111
472 0x1D8 0b111011000   1112 0x458 0b10001011000  1752 0x6D8 0b11011011000   2392 0x958 0b100101011000  3032 0xBD8 0b101111011000  3672 0xE58 0b111001011000
473 0x1D9 0b111011001   1113 0x459 0b10001011001  1753 0x6D9 0b11011011001   2393 0x959 0b100101011001  3033 0xBD9 0b101111011001  3673 0xE59 0b111001011001
474 0x1DA 0b111011010   1114 0x45A 0b10001011010  1754 0x6DA 0b11011011010   2394 0x95A 0b100101011010  3034 0xBDA 0b101111011010  3674 0xE5A 0b111001011010
475 0x1DB 0b111011011   1115 0x45B 0b10001011011  1755 0x6DB 0b11011011011   2395 0x95B 0b100101011011  3035 0xBDB 0b101111011011  3675 0xE5B 0b111001011011
476 0x1DC 0b111011100   1116 0x45C 0b10001011100  1756 0x6DC 0b11011011100   2396 0x95C 0b100101011100  3036 0xBDC 0b101111011100  3676 0xE5C 0b111001011100
477 0x1DD 0b111011101   1117 0x45D 0b10001011101  1757 0x6DD 0b11011011101   2397 0x95D 0b100101011101  3037 0xBDD 0b101111011101  3677 0xE5D 0b111001011101
478 0x1DE 0b111011110   1118 0x45E 0b10001011110  1758 0x6DE 0b11011011110   2398 0x95E 0b100101011110  3038 0xBDE 0b101111011110  3678 0xE5E 0b111001011110
479 0x1DF 0b111011111   1119 0x45F 0b10001011111  1759 0x6DF 0b11011011111   2399 0x95F 0b100101011111  3039 0xBDF 0b101111011111  3679 0xE5F 0b111001011111
480 0x1E0 0b111100000   1120 0x460 0b10001100000  1760 0x6E0 0b11011100000   2400 0x960 0b100101100000  3040 0xBE0 0b101111100000  3680 0xE60 0b111001100000
481 0x1E1 0b111100001   1121 0x461 0b10001100001  1761 0x6E1 0b11011100001   2401 0x961 0b100101100001  3041 0xBE1 0b101111100001  3681 0xE61 0b111001100001
482 0x1E2 0b111100010   1122 0x462 0b10001100010  1762 0x6E2 0b11011100010   2402 0x962 0b100101100010  3042 0xBE2 0b101111100010  3682 0xE62 0b111001100010
483 0x1E3 0b111100011   1123 0x463 0b10001100011  1763 0x6E3 0b11011100011   2403 0x963 0b100101100011  3043 0xBE3 0b101111100011  3683 0xE63 0b111001100011
484 0x1E4 0b111100100   1124 0x464 0b10001100100  1764 0x6E4 0b11011100100   2404 0x964 0b100101100100  3044 0xBE4 0b101111100100  3684 0xE64 0b111001100100
485 0x1E5 0b111100101   1125 0x465 0b10001100101  1765 0x6E5 0b11011100101   2405 0x965 0b100101100101  3045 0xBE5 0b101111100101  3685 0xE65 0b111001100101
486 0x1E6 0b111100110   1126 0x466 0b10001100110  1766 0x6E6 0b11011100110   2406 0x966 0b100101100110  3046 0xBE6 0b101111100110  3686 0xE66 0b111001100110
487 0x1E7 0b111100111   1127 0x467 0b10001100111  1767 0x6E7 0b11011100111   2407 0x967 0b100101100111  3047 0xBE7 0b101111100111  3687 0xE67 0b111001100111
488 0x1E8 0b111101000   1128 0x468 0b10001101000  1768 0x6E8 0b11011101000   2408 0x968 0b100101101000  3048 0xBE8 0b101111101000  3688 0xE68 0b111001101000
489 0x1E9 0b111101001   1129 0x469 0b10001101001  1769 0x6E9 0b11011101001   2409 0x969 0b100101101001  3049 0xBE9 0b101111101001  3689 0xE69 0b111001101001
490 0x1EA 0b111101010   1130 0x46A 0b10001101010  1770 0x6EA 0b11011101010   2410 0x96A 0b100101101010  3050 0xBEA 0b101111101010  3690 0xE6A 0b111001101010
491 0x1EB 0b111101011   1131 0x46B 0b10001101011  1771 0x6EB 0b11011101011   2411 0x96B 0b100101101011  3051 0xBEB 0b101111101011  3691 0xE6B 0b111001101011
492 0x1EC 0b111101100   1132 0x46C 0b10001101100  1772 0x6EC 0b11011101100   2412 0x96C 0b100101101100  3052 0xBEC 0b101111101100  3692 0xE6C 0b111001101100
493 0x1ED 0b111101101   1133 0x46D 0b10001101101  1773 0x6ED 0b11011101101   2413 0x96D 0b100101101101  3053 0xBED 0b101111101101  3693 0xE6D 0b111001101101
494 0x1EE 0b111101110   1134 0x46E 0b10001101110  1774 0x6EE 0b11011101110   2414 0x96E 0b100101101110  3054 0xBEE 0b101111101110  3694 0xE6E 0b111001101110
495 0x1EF 0b111101111   1135 0x46F 0b10001101111  1775 0x6EF 0b11011101111   2415 0x96F 0b100101101111  3055 0xBEF 0b101111101111  3695 0xE6F 0b111001101111
496 0x1F0 0b111110000   1136 0x470 0b10001110000  1776 0x6F0 0b11011110000   2416 0x970 0b100101110000  3056 0xBF0 0b101111110000  3696 0xE70 0b111001110000
497 0x1F1 0b111110001   1137 0x471 0b10001110001  1777 0x6F1 0b11011110001   2417 0x971 0b100101110001  3057 0xBF1 0b101111110001  3697 0xE71 0b111001110001
498 0x1F2 0b111110010   1138 0x472 0b10001110010  1778 0x6F2 0b11011110010   2418 0x972 0b100101110010  3058 0xBF2 0b101111110010  3698 0xE72 0b111001110010
499 0x1F3 0b111110011   1139 0x473 0b10001110011  1779 0x6F3 0b11011110011   2419 0x973 0b100101110011  3059 0xBF3 0b101111110011  3699 0xE73 0b111001110011
500 0x1F4 0b111110100   1140 0x474 0b10001110100  1780 0x6F4 0b11011110100   2420 0x974 0b100101110100  3060 0xBF4 0b101111110100  3700 0xE74 0b111001110100
501 0x1F5 0b111110101   1141 0x475 0b10001110101  1781 0x6F5 0b11011110101   2421 0x975 0b100101110101  3061 0xBF5 0b101111110101  3701 0xE75 0b111001110101
502 0x1F6 0b111110110   1142 0x476 0b10001110110  1782 0x6F6 0b11011110110   2422 0x976 0b100101110110  3062 0xBF6 0b101111110110  3702 0xE76 0b111001110110
503 0x1F7 0b111110111   1143 0x477 0b10001110111  1783 0x6F7 0b11011110111   2423 0x977 0b100101110111  3063 0xBF7 0b101111110111  3703 0xE77 0b111001110111
504 0x1F8 0b111111000   1144 0x478 0b10001111000  1784 0x6F8 0b11011111000   2424 0x978 0b100101111000  3064 0xBF8 0b101111111000  3704 0xE78 0b111001111000
505 0x1F9 0b111111001   1145 0x479 0b10001111001  1785 0x6F9 0b11011111001   2425 0x979 0b100101111001  3065 0xBF9 0b101111111001  3705 0xE79 0b111001111001
506 0x1FA 0b111111010   1146 0x47A 0b10001111010  1786 0x6FA 0b11011111010   2426 0x97A 0b100101111010  3066 0xBFA 0b101111111010  3706 0xE7A 0b111001111010
507 0x1FB 0b111111011   1147 0x47B 0b10001111011  1787 0x6FB 0b11011111011   2427 0x97B 0b100101111011  3067 0xBFB 0b101111111011  3707 0xE7B 0b111001111011
508 0x1FC 0b111111100   1148 0x47C 0b10001111100  1788 0x6FC 0b11011111100   2428 0x97C 0b100101111100  3068 0xBFC 0b101111111100  3708 0xE7C 0b111001111100
509 0x1FD 0b111111101   1149 0x47D 0b10001111101  1789 0x6FD 0b11011111101   2429 0x97D 0b100101111101  3069 0xBFD 0b101111111101  3709 0xE7D 0b111001111101
510 0x1FE 0b111111110   1150 0x47E 0b10001111110  1790 0x6FE 0b11011111110   2430 0x97E 0b100101111110  3070 0xBFE 0b101111111110  3710 0xE7E 0b111001111110
511 0x1FF 0b111111111   1151 0x47F 0b10001111111  1791 0x6FF 0b11011111111   2431 0x97F 0b100101111111  3071 0xBFF 0b101111111111  3711 0xE7F 0b111001111111
512 0x200 0b1000000000  1152 0x480 0b10010000000  1792 0x700 0b11100000000   2432 0x980 0b100110000000  3072 0xC00 0b110000000000  3712 0xE80 0b111010000000
513 0x201 0b1000000001  1153 0x481 0b10010000001  1793 0x701 0b11100000001   2433 0x981 0b100110000001  3073 0xC01 0b110000000001  3713 0xE81 0b111010000001
514 0x202 0b1000000010  1154 0x482 0b10010000010  1794 0x702 0b11100000010   2434 0x982 0b100110000010  3074 0xC02 0b110000000010  3714 0xE82 0b111010000010
515 0x203 0b1000000011  1155 0x483 0b10010000011  1795 0x703 0b11100000011   2435 0x983 0b100110000011  3075 0xC03 0b110000000011  3715 0xE83 0b111010000011
516 0x204 0b1000000100  1156 0x484 0b10010000100  1796 0x704 0b11100000100   2436 0x984 0b100110000100  3076 0xC04 0b110000000100  3716 0xE84 0b111010000100
517 0x205 0b1000000101  1157 0x485 0b10010000101  1797 0x705 0b11100000101   2437 0x985 0b100110000101  3077 0xC05 0b110000000101  3717 0xE85 0b111010000101
518 0x206 0b1000000110  1158 0x486 0b10010000110  1798 0x706 0b11100000110   2438 0x986 0b100110000110  3078 0xC06 0b110000000110  3718 0xE86 0b111010000110
519 0x207 0b1000000111  1159 0x487 0b10010000111  1799 0x707 0b11100000111   2439 0x987 0b100110000111  3079 0xC07 0b110000000111  3719 0xE87 0b111010000111
520 0x208 0b1000001000  1160 0x488 0b10010001000  1800 0x708 0b11100001000   2440 0x988 0b100110001000  3080 0xC08 0b110000001000  3720 0xE88 0b111010001000
521 0x209 0b1000001001  1161 0x489 0b10010001001  1801 0x709 0b11100001001   2441 0x989 0b100110001001  3081 0xC09 0b110000001001  3721 0xE89 0b111010001001
522 0x20A 0b1000001010  1162 0x48A 0b10010001010  1802 0x70A 0b11100001010   2442 0x98A 0b100110001010  3082 0xC0A 0b110000001010  3722 0xE8A 0b111010001010
523 0x20B 0b1000001011  1163 0x48B 0b10010001011  1803 0x70B 0b11100001011   2443 0x98B 0b100110001011  3083 0xC0B 0b110000001011  3723 0xE8B 0b111010001011
524 0x20C 0b1000001100  1164 0x48C 0b10010001100  1804 0x70C 0b11100001100   2444 0x98C 0b100110001100  3084 0xC0C 0b110000001100  3724 0xE8C 0b111010001100
525 0x20D 0b1000001101  1165 0x48D 0b10010001101  1805 0x70D 0b11100001101   2445 0x98D 0b100110001101  3085 0xC0D 0b110000001101  3725 0xE8D 0b111010001101
526 0x20E 0b1000001110  1166 0x48E 0b10010001110  1806 0x70E 0b11100001110   2446 0x98E 0b100110001110  3086 0xC0E 0b110000001110  3726 0xE8E 0b111010001110
527 0x20F 0b1000001111  1167 0x48F 0b10010001111  1807 0x70F 0b11100001111   2447 0x98F 0b100110001111  3087 0xC0F 0b110000001111  3727 0xE8F 0b111010001111
528 0x210 0b1000010000  1168 0x490 0b10010010000  1808 0x710 0b11100010000   2448 0x990 0b100110010000  3088 0xC10 0b110000010000  3728 0xE90 0b111010010000
529 0x211 0b1000010001  1169 0x491 0b10010010001  1809 0x711 0b11100010001   2449 0x991 0b100110010001  3089 0xC11 0b110000010001  3729 0xE91 0b111010010001
530 0x212 0b1000010010  1170 0x492 0b10010010010  1810 0x712 0b11100010010   2450 0x992 0b100110010010  3090 0xC12 0b110000010010  3730 0xE92 0b111010010010
531 0x213 0b1000010011  1171 0x493 0b10010010011  1811 0x713 0b11100010011   2451 0x993 0b100110010011  3091 0xC13 0b110000010011  3731 0xE93 0b111010010011
532 0x214 0b1000010100  1172 0x494 0b10010010100  1812 0x714 0b11100010100   2452 0x994 0b100110010100  3092 0xC14 0b110000010100  3732 0xE94 0b111010010100
533 0x215 0b1000010101  1173 0x495 0b10010010101  1813 0x715 0b11100010101   2453 0x995 0b100110010101  3093 0xC15 0b110000010101  3733 0xE95 0b111010010101
534 0x216 0b1000010110  1174 0x496 0b10010010110  1814 0x716 0b11100010110   2454 0x996 0b100110010110  3094 0xC16 0b110000010110  3734 0xE96 0b111010010110
535 0x217 0b1000010111  1175 0x497 0b10010010111  1815 0x717 0b11100010111   2455 0x997 0b100110010111  3095 0xC17 0b110000010111  3735 0xE97 0b111010010111
536 0x218 0b1000011000  1176 0x498 0b10010011000  1816 0x718 0b11100011000   2456 0x998 0b100110011000  3096 0xC18 0b110000011000  3736 0xE98 0b111010011000
537 0x219 0b1000011001  1177 0x499 0b10010011001  1817 0x719 0b11100011001   2457 0x999 0b100110011001  3097 0xC19 0b110000011001  3737 0xE99 0b111010011001
538 0x21A 0b1000011010  1178 0x49A 0b10010011010  1818 0x71A 0b11100011010   2458 0x99A 0b100110011010  3098 0xC1A 0b110000011010  3738 0xE9A 0b111010011010
539 0x21B 0b1000011011  1179 0x49B 0b10010011011  1819 0x71B 0b11100011011   2459 0x99B 0b100110011011  3099 0xC1B 0b110000011011  3739 0xE9B 0b111010011011
540 0x21C 0b1000011100  1180 0x49C 0b10010011100  1820 0x71C 0b11100011100   2460 0x99C 0b100110011100  3100 0xC1C 0b110000011100  3740 0xE9C 0b111010011100
541 0x21D 0b1000011101  1181 0x49D 0b10010011101  1821 0x71D 0b11100011101   2461 0x99D 0b100110011101  3101 0xC1D 0b110000011101  3741 0xE9D 0b111010011101
542 0x21E 0b1000011110  1182 0x49E 0b10010011110  1822 0x71E 0b11100011110   2462 0x99E 0b100110011110  3102 0xC1E 0b110000011110  3742 0xE9E 0b111010011110
543 0x21F 0b1000011111  1183 0x49F 0b10010011111  1823 0x71F 0b11100011111   2463 0x99F 0b100110011111  3103 0xC1F 0b110000011111  3743 0xE9F 0b111010011111
544 0x220 0b1000100000  1184 0x4A0 0b10010100000  1824 0x720 0b11100100000   2464 0x9A0 0b100110100000  3104 0xC20 0b110000100000  3744 0xEA0 0b111010100000
545 0x221 0b1000100001  1185 0x4A1 0b10010100001  1825 0x721 0b11100100001   2465 0x9A1 0b100110100001  3105 0xC21 0b110000100001  3745 0xEA1 0b111010100001
546 0x222 0b1000100010  1186 0x4A2 0b10010100010  1826 0x722 0b11100100010   2466 0x9A2 0b100110100010  3106 0xC22 0b110000100010  3746 0xEA2 0b111010100010
547 0x223 0b1000100011  1187 0x4A3 0b10010100011  1827 0x723 0b11100100011   2467 0x9A3 0b100110100011  3107 0xC23 0b110000100011  3747 0xEA3 0b111010100011
548 0x224 0b1000100100  1188 0x4A4 0b10010100100  1828 0x724 0b11100100100   2468 0x9A4 0b100110100100  3108 0xC24 0b110000100100  3748 0xEA4 0b111010100100
549 0x225 0b1000100101  1189 0x4A5 0b10010100101  1829 0x725 0b11100100101   2469 0x9A5 0b100110100101  3109 0xC25 0b110000100101  3749 0xEA5 0b111010100101
550 0x226 0b1000100110  1190 0x4A6 0b10010100110  1830 0x726 0b11100100110   2470 0x9A6 0b100110100110  3110 0xC26 0b110000100110  3750 0xEA6 0b111010100110
551 0x227 0b1000100111  1191 0x4A7 0b10010100111  1831 0x727 0b11100100111   2471 0x9A7 0b100110100111  3111 0xC27 0b110000100111  3751 0xEA7 0b111010100111
552 0x228 0b1000101000  1192 0x4A8 0b10010101000  1832 0x728 0b11100101000   2472 0x9A8 0b100110101000  3112 0xC28 0b110000101000  3752 0xEA8 0b111010101000
553 0x229 0b1000101001  1193 0x4A9 0b10010101001  1833 0x729 0b11100101001   2473 0x9A9 0b100110101001  3113 0xC29 0b110000101001  3753 0xEA9 0b111010101001
554 0x22A 0b1000101010  1194 0x4AA 0b10010101010  1834 0x72A 0b11100101010   2474 0x9AA 0b100110101010  3114 0xC2A 0b110000101010  3754 0xEAA 0b111010101010
555 0x22B 0b1000101011  1195 0x4AB 0b10010101011  1835 0x72B 0b11100101011   2475 0x9AB 0b100110101011  3115 0xC2B 0b110000101011  3755 0xEAB 0b111010101011
556 0x22C 0b1000101100  1196 0x4AC 0b10010101100  1836 0x72C 0b11100101100   2476 0x9AC 0b100110101100  3116 0xC2C 0b110000101100  3756 0xEAC 0b111010101100
557 0x22D 0b1000101101  1197 0x4AD 0b10010101101  1837 0x72D 0b11100101101   2477 0x9AD 0b100110101101  3117 0xC2D 0b110000101101  3757 0xEAD 0b111010101101
558 0x22E 0b1000101110  1198 0x4AE 0b10010101110  1838 0x72E 0b11100101110   2478 0x9AE 0b100110101110  3118 0xC2E 0b110000101110  3758 0xEAE 0b111010101110
559 0x22F 0b1000101111  1199 0x4AF 0b10010101111  1839 0x72F 0b11100101111   2479 0x9AF 0b100110101111  3119 0xC2F 0b110000101111  3759 0xEAF 0b111010101111
560 0x230 0b1000110000  1200 0x4B0 0b10010110000  1840 0x730 0b11100110000   2480 0x9B0 0b100110110000  3120 0xC30 0b110000110000  3760 0xEB0 0b111010110000
561 0x231 0b1000110001  1201 0x4B1 0b10010110001  1841 0x731 0b11100110001   2481 0x9B1 0b100110110001  3121 0xC31 0b110000110001  3761 0xEB1 0b111010110001
